variable;imp_log;imp_ridge;imp_lasso;imp_elastic;imp_foret;imp_adaboost;imp_logiboost
RIDAGEYR_demo;10;NA;3;7;10;10;10
BPQ020_bpq;9;NA;NA;NA;9;9;9
MCQ080_mcq;8;NA;NA;NA;NA;8;8
DIQ010_diq;7;NA;NA;NA;8;7;7
BMXHT_bmx;6;NA;NA;NA;2;NA;NA
BMXBMI_bmx;5;NA;NA;NA;7;6;6
RIAGENDR_demo;4;NA;1;NA;NA;NA;NA
OHAREC_ohxref;3;10;NA;10;NA;2;5
BMXWT_bmx;2;NA;NA;NA;4;NA;NA
SLQ050_slq;1;NA;NA;NA;NA;NA;NA
PAQ635_paq;NA;9;NA;9;NA;NA;NA
PAQ650_paq;NA;8;NA;NA;NA;NA;NA
DR1TCOPP_dr1tot;NA;7;NA;6;NA;NA;NA
DRDINT_dr1tot;NA;6;NA;NA;NA;NA;NA
Var_TRAVAILoui;NA;5;NA;8;NA;NA;NA
DR1TVB6_dr1tot;NA;4;NA;NA;NA;NA;NA
MCQ010_mcq;NA;3;NA;NA;NA;NA;NA
PAQ620_paq;NA;2;NA;NA;NA;NA;NA
HEQ030_heq;NA;1;NA;NA;NA;NA;NA
DR1TFIBE_dr1tot;NA;NA;2;4;NA;NA;NA
RIDSTATR_demo;NA;NA;1;NA;NA;NA;NA
DMDHHSIZ_demo;NA;NA;1;NA;NA;NA;NA
DMDFMSIZ_demo;NA;NA;1;NA;NA;NA;NA
INDHHIN2_demo;NA;NA;1;NA;NA;NA;NA
INDFMIN2_demo;NA;NA;1;NA;NA;NA;NA
INDFMPIR_demo;NA;NA;NA;5;NA;NA;4
BPXDI2_bpx;NA;NA;NA;3;NA;NA;NA
HOD050_hoq;NA;NA;NA;2;NA;NA;NA
DR1TMAGN_dr1tot;NA;NA;NA;1;NA;4;3
BPXSY1_bpx;NA;NA;NA;NA;6;NA;NA
BPXSY2_bpx;NA;NA;NA;NA;5;NA;NA
BPXSY3_bpx;NA;NA;NA;NA;3;NA;NA
DR1TCHL_dr1tot;NA;NA;NA;NA;NA;1;NA
DR1TLYCO_dr1tot;NA;NA;NA;NA;NA;3;NA
DR1.320Z_dr1tot;NA;NA;NA;NA;NA;5;NA
DR1TVB12_dr1tot;NA;NA;NA;NA;NA;NA;1
DR1TPOTA_dr1tot;NA;NA;NA;NA;NA;NA;2
