variable;imp_log;imp_ridge;imp_lasso;imp_elastic;imp_foret;imp_adaboost;imp_logiboost
Age in years at screening ;6.39387057102783;0.273819043734722;0.573303846744134;0.528778762756416;7.14243219900259;8.86365689109326;8.72475367832599
Ever told you had high blood pressureNo;4.36025657971875;NA;NA;NA;NA;NA;NA
Doctor ever said you were overweightNo;3.48149149375117;NA;NA;NA;NA;NA;NA
Doctor told you have diabetesNo;2.06632117247242;NA;NA;NA;NA;NA;NA
Body Mass Index (kg/m**2);1.09788417943539;NA;0.171731577410442;NA;0.7540381156104;-0.042899100928665;0.0743124662062904
Standing Height (cm);1.08577197951177;NA;0.171731577410442;NA;0.331199595516457;NA;NA
GenderFemale;0.88003653302582;NA;0.171731577410442;NA;NA;NA;NA
Weight (kg);0.84757928186649;NA;0.171731577410442;NA;0.437996307822552;NA;NA
Ever told doctor had trouble sleeping?No;0.823853298734623;NA;NA;NA;NA;NA;NA
VAR_TRAVAILoui;0.468535278277327;0.534106117452478;NA;0.74303584548846;NA;NA;NA
Vitamin B6 (mg);0.378248233486664;0.396405473124783;NA;NA;NA;NA;NA
Dietary fiber (gm);0.187267501178742;NA;0.201552075182511;0.253615857397552;NA;-0.0379512484718136;-0.0634636250636351
Cholesterol (mg);0.168249476460581;NA;NA;NA;NA;NA;NA
Vitamin B12 (mcg);0.163137605297575;NA;NA;NA;NA;NA;NA
On special diet?;0.155424630331019;NA;NA;NA;NA;NA;NA
Home owned, bought, rented, otherDontknow;NA;5.23765867302463;NA;0.660383293224148;NA;NA;NA
Home owned, bought, rented, otherRefused;NA;2.03164991358886;NA;NA;NA;NA;NA
Ever told you have Hepatitis C?;NA;1.79634018130943;NA;0.528444410497723;NA;NA;NA
Doctor told you have diabetesBoderline;NA;1.06956833071783;NA;0.235957867613497;NA;NA;NA
Walk or bicycleNo;NA;0.72456656201339;NA;0.550167243206227;NA;NA;NA
Overall recommendation for careContinue your regular routine care;NA;0.666519766958764;NA;1.19945241371904;NA;NA;NA
Vigorous recreational activitiesNo;NA;0.623406354457859;NA;NA;NA;NA;NA
Copper (mg);NA;0.608722646541811;NA;0.418228842813992;NA;-0.0965748334330059;-0.0905778269788586
Number of days of intake;NA;0.565124951924866;NA;NA;NA;NA;NA
Ever told you have Hepatitis B?No;NA;0.273839818199209;NA;NA;NA;NA;NA
VAR_COFUMEURoui;NA;0.271943546221952;NA;NA;NA;NA;NA
Ever been told you have asthmaNo;NA;0.26954289675969;NA;NA;NA;NA;NA
Ratio of family income to poverty;NA;NA;0.217945623519335;0.381544597848195;NA;-0.111214548034371;NA
Magnesium (mg);NA;NA;0.171764861243435;0.198124103838514;NA;NA;NA
Interview/Examination status;NA;NA;0.171731577410442;NA;NA;NA;NA
Total number of people in the Household;NA;NA;0.171731577410442;NA;NA;-0.101577178666054;NA
Total number of people in the Family;NA;NA;0.171731577410442;NA;NA;NA;NA
Annual household income;NA;NA;0.171731577410442;NA;NA;NA;NA
Annual family income;NA;NA;0.171731577410442;NA;NA;NA;NA
Systolic: Blood pres (1st rdg) mm Hg;NA;NA;0.171731577410442;NA;0.568659444906434;NA;NA
Diastolic: Blood pres (2nd rdg) mm Hg;NA;NA;NA;0.223665988870398;NA;NA;NA
Moisture (gm);NA;NA;NA;0.196556299971809;0.358144817735711;-0.104826969040422;-0.0816583987110462
Lutein + zeaxanthin (mcg);NA;NA;NA;0.196439936485053;0.210575934254467;NA;NA
Total plain water drank yesterday (gm);NA;NA;NA;0.196427273020332;NA;-0.0788887699780782;NA
Ever told you had high blood pressure;NA;NA;NA;NA;3.58493087294283;2.25407004556437;2.73030746972669
Doctor told you have diabetes;NA;NA;NA;NA;1.3413985437576;0.680130938658553;0.758614629221752
Systolic: Blood pres (2nd rdg) mm Hg;NA;NA;NA;NA;0.653337877647736;NA;NA
Systolic: Blood pres (3rd rdg) mm Hg;NA;NA;NA;NA;0.486106607175635;NA;NA
Caffeine (mg);NA;NA;NA;NA;0.355826686501286;NA;NA
Beta-carotene (mcg);NA;NA;NA;NA;0.318832395837842;NA;-0.0937149852135212
VAR_ARGENTALIM;NA;NA;NA;NA;0.28906491300724;NA;NA
Vitamin K (mcg);NA;NA;NA;NA;0.224861420906086;NA;-0.0755656760813043
Doctor ever said you were overweight;NA;NA;NA;NA;NA;0.935991200531282;0.813348041285269
Potassium (mg);NA;NA;NA;NA;NA;-0.0235687606799118;NA
Gender;NA;NA;NA;NA;NA;-0.105091711888362;-0.0985352473314069
Total choline (mg);NA;NA;NA;NA;NA;-0.111801155865978;NA
Phosphorus (mg);NA;NA;NA;NA;NA;-0.113932764178436;NA
Ever told doctor had trouble sleeping?;NA;NA;NA;NA;NA;NA;-0.029644282408015
Total monounsaturated fatty acids (gm);NA;NA;NA;NA;NA;NA;-0.0847065870203476
Niacin (mg);NA;NA;NA;NA;NA;NA;-0.0898154933972801
Home owned, bought, rented, other;NA;NA;NA;NA;NA;NA;-0.0918580220535713
