Y;log90;ridge;lasso;elastic;foret;adabo;logibo;logStep20;svmStep20;logRed15
0;0,70306574;0,658898349;0,50163866;0,596957273;0,582;0,537893876;0,588186076;0,670345289;0,591121455;0,643647106
0;0,102144037;0,124893508;0,229765168;0,139149903;0,312;0,344495211;0,304451073;0,093195217;0,059069199;0,158640589
1;0,893837324;0,872752495;0,763505134;0,868514269;0,626;0,704523164;0,715641538;0,869552097;0,897873886;0,881393657
0;0,390375506;0,430897746;0,371199961;0,39726871;0,412;0,417819792;0,38509167;0,328702372;0,251047718;0,352746694
0;0,119157205;0,118362973;0,158313174;0,136059821;0,212;0,133499503;0,140748935;0,132619831;0,151942901;0,148389511
0;0,567055439;0,464538708;0,512054254;0,478076943;0,424;0,449012833;0,427220847;0,509131453;0,423686643;0,530755849
0;0,176484879;0,148821766;0,133787755;0,130319572;0,124;0,085476251;0,11678128;0,123448031;0,154727493;0,13213526
0;0,045024708;0,065902396;0,122175273;0,07032769;0,112;0,093532558;0,112026408;0,058719515;0,075251651;0,070571265
0;0,670295076;0,68121841;0,600530263;0,647958421;0,528;0,632165338;0,613634576;0,673338984;0,636522923;0,680698457
1;0,429044682;0,404552124;0,434311974;0,422258271;0,402;0,468564801;0,437375953;0,455840984;0,448608876;0,566558042
0;0,027250066;0,044311195;0,075009959;0,045441862;0,08;0,035990657;0,065410745;0,028077179;0,061612828;0,036095918
1;0,084930509;0,120413503;0,191187974;0,148891939;0,198;0,183939575;0,169838492;0,136192932;0,125269439;0,17750128
0;0,054479198;0,067612893;0,062899257;0,0554554;0,13;0,041065179;0,062615754;0,046947344;0,094265168;0,042881016
1;0,050305826;0,075148699;0,109307916;0,096494319;0,17;0,085446536;0,094768586;0,068657307;0,09536774;0,068206891
1;0,292956621;0,328017556;0,524099989;0,41548262;0,44;0,519796937;0,519226374;0,363938883;0,384414305;0,310386123
0;0,534213494;0,571994559;0,561824857;0,598834134;0,568;0,615760937;0,618397487;0,622783532;0,646779461;0,699672064
0;0,045161846;0,060105826;0,071843073;0,058346954;0,034;0,043418274;0,070728362;0,062374646;0,132619476;0,050383882
1;0,755874728;0,745626176;0,577348562;0,67965606;0,624;0,667729418;0,692623161;0,66860509;0,769921631;0,634483768
0;0,104240153;0,124111234;0,141795732;0,131212433;0,198;0,08003487;0,114317807;0,104516452;0,140838789;0,105017548
0;0,038174912;0,055648886;0,079696248;0,060225793;0,082;0,05340769;0,071429507;0,041052352;0,066393009;0,047020376
0;0,103698788;0,125426966;0,158187389;0,120184596;0,168;0,081807136;0,085493025;0,102009145;0,096883559;0,094175649
0;0,424421001;0,347505436;0,39394966;0,374512032;0,434;0,395932166;0,496480203;0,468188818;0,472546543;0,389063834
0;0,201484073;0,216863069;0,209526993;0,210659782;0,194;0,222991682;0,214421358;0,222815942;0,224513507;0,19429116
1;0,776232461;0,76068832;0,669197361;0,742679172;0,63;0,608012767;0,573974888;0,763366843;0,726285923;0,754357352
1;0,322353439;0,375861838;0,505050386;0,42897609;0,516;0,537332723;0,514120917;0,419334007;0,497863451;0,422797369
0;0,261716922;0,259629953;0,274839839;0,260042184;0,252;0,323706587;0,303655497;0,244951327;0,244599703;0,234732869
1;0,85965332;0,738278442;0,495825385;0,575176995;0,546;0,524706485;0,659355221;0,705091868;0,697782957;0,63451094
0;0,065906839;0,079070464;0,108786843;0,078141437;0,104;0,056915441;0,102654757;0,065323067;0,120481739;0,070172975
