Y;log90;ridge;lasso;elastic;foret;adabo;logibo;logStep20;svmStep20;logRed15
0;0,673528529;0,655494365;0,474278153;0,643966589;0,652;0,631820566;0,605234332;0,682293096;0,631214307;0
0;0,12111581;0,15006535;0,241966839;0,165081278;0,332;0,291308455;0,302830338;0,108419304;0,08251548;0
1;0,862092592;0,832727198;0,748155499;0,843083273;0,63;0,712858591;0,735304026;0,863547365;0,883735142;0
0;0,414650038;0,446976695;0,367781259;0,423120425;0,348;0,406932567;0,378868202;0,370985568;0,259428328;0
0;0,101805973;0,105327032;0,168911474;0,122012008;0,24;0,110172089;0,135336586;0,125533585;0,140611742;0
0;0,51272041;0,439319779;0,527548916;0,477818052;0,436;0,436687371;0,449334949;0,511380369;0,450764662;0
0;0,162123491;0,150523633;0,145870138;0,15825815;0,122;0,086790857;0,144267066;0,141996987;0,16624449;0
0;0,059146132;0,077173612;0,121617786;0,080109755;0,066;0,09236753;0,108355061;0,062943767;0,084072717;0
0;0,647239954;0,658102922;0,583339185;0,633648935;0,514;0,553772595;0,545553151;0,660988441;0,637342568;0
1;0,421135902;0,405830175;0,426937792;0,417446319;0,422;0,466004054;0,448979749;0,446563664;0,436851551;0
0;0,038790151;0,056741653;0,081416589;0,047474762;0,106;0,045745114;0,08635009;0,031430485;0,065340539;0
1;0,09467056;0,121714566;0,190012146;0,147258188;0,27;0,20873057;0,212048092;0,130172923;0,128990515;0
0;0,045217272;0,058499559;0,06737247;0,046980494;0,106;0,048181601;0,061642778;0,042177982;0,079916082;0
1;0,05501576;0,079763451;0,12408617;0,091470315;0,17;0,093380383;0,122047874;0,077376042;0,111948439;0
1;0,254050062;0,294118966;0,511211128;0,40590683;0,47;0,49235232;0,499777162;0,339838126;0,357401857;0
0;0,50867671;0,517811254;0,587249804;0,6039699;0,526;0,565248566;0,624765255;0,667868906;0,684317515;0
0;0,056783278;0,070249488;0,078785911;0,063804654;0,074;0,052799525;0,072701669;0,065821869;0,135440834;0
1;0,667258681;0,69094146;0,574128027;0,633452116;0,65;0,663778502;0,664513455;0,658497015;0,753894026;0
0;0,065964537;0,098162252;0,119059004;0,115438015;0,162;0,07601975;0,105154504;0,090932622;0,127427493;0
0;0,038486915;0,058130285;0,09069924;0,052662757;0,1;0,044683422;0,07024236;0,040683517;0,066461981;0
0;0,104643917;0,128955055;0,159851376;0,125285293;0,108;0,076322539;0,08362072;0,107220172;0,107495796;0
0;0,444655567;0,367613592;0,391334239;0,365105719;0,418;0,472894977;0,458121015;0,443082714;0,446161519;0
0;0,189707691;0,222036891;0,214730974;0,209746131;0,274;0,250468482;0,251177317;0,210760091;0,210955059;0
1;0,745919462;0,740663443;0,639449652;0,714714326;0,69;0,573866774;0,608239101;0,738423364;0,70257248;0
1;0,350119195;0,381532253;0,529342666;0,450630504;0,528;0,540795939;0,525323168;0,447434601;0,52402571;0
0;0,243235672;0,248328226;0,282804492;0,256391129;0,302;0,353689609;0,3248937;0,255493184;0,261475659;0
